44558202,7664 OLD KINGS RD S,32217,Jacksonville,FL
44534998,5506 KEYSTONE DR S,32207,Jacksonville,FL
44601402,912 SHIPWATCH DR E,32225,Jacksonville,FL
44583666,11515 KELVYN GROVE PL,32225,Jacksonville,FL
44515448,6306 BAYFIELD DR,32277,Jacksonville,FL
44511477,3905 ST ISABEL DR E,32277,Jacksonville,FL
44475380,4322 WOODMERE ST,32210,Jacksonville,FL
44542582,1895 WOODLEIGH DR W,32211,Jacksonville,FL
44579395,4512 BENTLEY TRACE LN N,32257,Jacksonville,FL
44577266,5393 JULINGTON CREEK RD,32258,Jacksonville,FL
83003935,7907 DAWSONS CREEK DR,32222,Jacksonville,FL
44420149,6119 FIRESTONE RD,32244,Jacksonville,FL
44575205,12152 CATTAIL LN,32223,Jacksonville,FL
44581012,13033 SAWPIT RD,32226,Jacksonville,FL
82981262,2119 VALENCIA DR,32207,Jacksonville,FL
44547986,8244 LAKE WOODBOURNE DR,32217,Jacksonville,FL
44567663,2926 SCOTT MILL LN,32223,Jacksonville,FL
44575773,3324 SCRUB OAK LN,32223,Jacksonville,FL
44585378,3386 HAMPSTEAD DR,32225,Jacksonville,FL
44591104,325 Franklin Brook Ln,32225,Jacksonville,FL
44558483,2870 CHRISTOPHER CREEK RD N,32217,Jacksonville,FL
44506999,14010 ATHENS DR,32223,Jacksonville,FL
44530444,5419 RIVER RD S,32211,Jacksonville,FL
44564555,10960 HAMILTON DOWNS CT,32257,Jacksonville,FL
44504286,4233 ALDINGTON DR,32210,Jacksonville,FL
44564677,11009 ROCK ISLAND RD,32257,Jacksonville,FL
44558258,6998 SAN FERNANDO PL,32217,Jacksonville,FL
44445681,111 E 54th St,32208,Jacksonville,FL
44408168,8467 SANTANA CT,32220,Jacksonville,FL
44561671,5439 PITTMAN DR N,32207,Jacksonville,FL
44438724,3308 RIBAULT SCENIC DR,32208,Jacksonville,FL
109767288,6360 LOUIS CLARK CT,32222,Jacksonville,FL
58657636,9059 HAMPTON LANDING DR,32256,Jacksonville,FL
44609700,13733 SANDY CREEK DR,32224,Jacksonville,FL
44563712,3047 CROSBY LN,32216,Jacksonville,FL
109766973,1931 DERRINGER RD,32225,Jacksonville,FL
44563967,7805 BAYMEADOWS CIR W,32256,Jacksonville,FL
44565157,5342 MORGAN HORSE DR N,32257,Jacksonville,FL
71042417,13481 LONG CYPRESS TRL,32223,Jacksonville,FL
68545936,14699 MOORE BRANCH RD,32234,Jacksonville,FL
44514636,4143 FERBER RD,32277,Jacksonville,FL
44502580,5590 LA MOYA AVE,32210,Jacksonville,FL
61185767,3066 DONATO DR N,32226,Jacksonville,FL
52525131,2851 CASA DEL RIO TER,32257,Jacksonville,FL
58657327,2758 COACHMAN LAKES DR,32246,Jacksonville,FL
83001141,8601 BEACH BLVD UNIT 804,32216,Jacksonville,FL
67411336,3512 WATERCHASE WAY E,32224,Jacksonville,FL
55116782,9426 CEDAR DELL CT,32257,Jacksonville,FL
62774456,1226 MCGIRTS CREEK DR W,32221,Jacksonville,FL
113197951,11789 CAROLWOOD LN,32258,Jacksonville,FL
44582649,4252 BLEINHEIM PL,32225,Jacksonville,FL
44580333,12516 CONDOR DR,32223,Jacksonville,FL
44555436,7938 TIMBERLIN PARK BLVD,32256,Jacksonville,FL
44506288,1337 RIVERPLACE DR,32223,Jacksonville,FL
44611788,9446 HECKSCHER DR,32226,Jacksonville,FL
44592224,333 BEADLILY CT,32225,Jacksonville,FL
71034484,12675 FORT CAROLINE RD,32225,Jacksonville,FL
